"","db","query","phylum","class","order","family","genus","species","ncbi"
"2602","itis","Cyclolejeunea convexistipa",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Cyclolejeunea","Cyclolejeunea convexistipa",NA
"2603","itis","Cyclolejeunea foliorum",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Cyclolejeunea","Cyclolejeunea foliorum",NA
"2604","itis","Cyclolejeunea luteola",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Cyclolejeunea","Cyclolejeunea luteola",NA
"2605","itis","Cyclolejeunea peruviana",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Cyclolejeunea","Cyclolejeunea peruviana",NA
"2606","itis","Cyclopeltis semicordata",NA,"Polypodiopsida","Polypodiales","Lomariopsidaceae","Cyclopeltis","Cyclopeltis semicordata",NA
"2607","itis","Cyclopogon apricus",NA,NA,NA,NA,NA,NA,NA
"2608","itis","Cyclosorus interruptus",NA,"Polypodiopsida","Polypodiales","Thelypteridaceae","Cyclosorus","Cyclosorus interruptus",NA
"2609","itis","Cyclospermum leptophyllum",NA,"Magnoliopsida","Apiales","Apiaceae","Cyclospermum","Cyclospermum leptophyllum",NA
"2610","itis","Cydista aequinoctialis",NA,"Magnoliopsida","Lamiales","Bignoniaceae","Cydista","Cydista aequinoctialis",NA
"2611","itis","Cydista lilacina",NA,NA,NA,NA,NA,NA,NA
"2612","itis","Cylindrocolea rhizantha",NA,"Jungermanniopsida","Jungermanniales","Cephaloziellaceae","Cylindrocolea","Cylindrocolea rhizantha",NA
"2613","itis","Cymbopetalum brasiliense",NA,NA,NA,NA,NA,NA,NA
"2614","itis","Cymbopetalum coriaceum",NA,NA,NA,NA,NA,NA,NA
"2615","itis","Cymbopetalum euneurum",NA,NA,NA,NA,NA,NA,NA
"2616","itis","Cymbopetalum longipes",NA,NA,NA,NA,NA,NA,NA
"2617","itis","Cymbopogon citratus",NA,"Magnoliopsida","Poales","Poaceae","Cymbopogon","Cymbopogon citratus",NA
"2618","itis","Cymbosema roseum",NA,NA,NA,NA,NA,NA,NA
"2619","itis","Cynanchum blandum",NA,NA,NA,NA,NA,NA,NA
"2620","itis","Cynanchum montevidense",NA,NA,NA,NA,NA,NA,NA
"2621","itis","Cynodon dactylon",NA,"Magnoliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon",NA
"2622","itis","Cynometra bauhiniifolia",NA,NA,NA,NA,NA,NA,NA
"2623","itis","Cynometra duckei",NA,NA,NA,NA,NA,NA,NA
"2624","itis","Cynometra longicuspis",NA,NA,NA,NA,NA,NA,NA
"2625","itis","Cynometra marginata",NA,NA,NA,NA,NA,NA,NA
"2626","itis","Cynometra parvifolia",NA,NA,NA,NA,NA,NA,NA
"2627","itis","Cynometra phaselocarpa",NA,NA,NA,NA,NA,NA,NA
"2628","itis","Cynometra spruceana",NA,NA,NA,NA,NA,NA,NA
"2629","itis","Cynometra stenopetala",NA,NA,NA,NA,NA,NA,NA
"2630","itis","Cypella aquatilis",NA,NA,NA,NA,NA,NA,NA
"2631","itis","Cyperus aggregatus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus aggregatus",NA
"2632","itis","Cyperus altsonii",NA,NA,NA,NA,NA,NA,NA
"2633","itis","Cyperus amabilis",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus amabilis",NA
"2634","itis","Cyperus articulatus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus articulatus",NA
"2635","itis","Cyperus bampsii",NA,NA,NA,NA,NA,NA,NA
"2636","itis","Cyperus blepharoleptos",NA,NA,NA,NA,NA,NA,NA
"2637","itis","Cyperus brasiliensis",NA,NA,NA,NA,NA,NA,NA
"2638","itis","Cyperus brevifolius",NA,NA,NA,NA,NA,"Cyperus brevifolius",NA
"2639","itis","Cyperus chalaranthus",NA,NA,NA,NA,NA,NA,NA
"2640","itis","Cyperus compressus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus compressus",NA
"2641","itis","Cyperus cornelii-ostenii",NA,NA,NA,NA,NA,NA,NA
"2642","itis","Cyperus corymbosus",NA,NA,NA,NA,NA,NA,NA
"2643","itis","Cyperus cuspidatus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus cuspidatus",NA
"2644","itis","Cyperus difformis",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus difformis",NA
"2645","itis","Cyperus digitatus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus digitatus",NA
"2646","itis","Cyperus distans",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus distans",NA
"2647","itis","Cyperus esculentus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus esculentus",NA
"2648","itis","Cyperus ferax",NA,NA,NA,NA,NA,"Cyperus ferax",NA
"2649","itis","Cyperus filifolius",NA,NA,NA,NA,NA,NA,NA
"2650","itis","Cyperus friburgensis",NA,NA,NA,NA,NA,NA,NA
"2651","itis","Cyperus grandisimplex",NA,NA,NA,NA,NA,NA,NA
"2652","itis","Cyperus haspan",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus haspan",NA
"2653","itis","Cyperus hayesii",NA,NA,NA,NA,NA,NA,NA
"2654","itis","Cyperus hermaphroditus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus hermaphroditus",NA
"2655","itis","Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA
"2656","itis","Cyperus incomtus",NA,NA,NA,NA,NA,NA,NA
"2657","itis","Cyperus iria",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus iria",NA
"2658","itis","Cyperus lacustris",NA,NA,NA,NA,NA,NA,NA
"2659","itis","Cyperus laxus",NA,NA,NA,NA,NA,NA,NA
"2660","itis","Cyperus ligularis",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus ligularis",NA
"2661","itis","Cyperus luzulae",NA,NA,NA,NA,NA,"Cyperus luzulae",NA
"2662","itis","Cyperus miliifolius",NA,NA,NA,NA,NA,NA,NA
"2663","itis","Cyperus mutisii",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus mutisii",NA
"2664","itis","Cyperus obtusatus",NA,NA,NA,NA,NA,"Cyperus obtusatus",NA
"2665","itis","Cyperus odoratus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus odoratus",NA
"2666","itis","Cyperus polystachyos",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus polystachyos",NA
"2667","itis","Cyperus prolixus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus prolixus",NA
"2668","itis","Cyperus rotundus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus rotundus",NA
"2669","itis","Cyperus sesquiflorus",NA,NA,NA,NA,NA,"Cyperus sesquiflorus",NA
"2670","itis","Cyperus simplex",NA,NA,NA,NA,NA,NA,NA
"2671","itis","Cyperus sphacelatus",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus sphacelatus",NA
"2672","itis","Cyperus subsquarrosus",NA,NA,NA,NA,NA,NA,NA
"2673","itis","Cyperus surinamensis",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus surinamensis",NA
"2674","itis","Cyperus tenuifolius",NA,NA,NA,NA,NA,"Cyperus tenuifolius",NA
"2675","itis","Cyperus tenuis",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus tenuis",NA
"2676","itis","Cyperus tenuispica",NA,NA,NA,NA,NA,NA,NA
"2677","itis","Cyperus virens",NA,"Magnoliopsida","Poales","Cyperaceae","Cyperus","Cyperus virens",NA
"2678","itis","Cyphomandra endopogon",NA,NA,NA,NA,NA,NA,NA
"2679","itis","Cyphomandra hartwegii",NA,NA,NA,NA,NA,"Cyphomandra hartwegii",NA
"2680","itis","Cyphomandra pilosa",NA,NA,NA,NA,NA,NA,NA
"2681","itis","Cyphonanthus discrepans",NA,"Magnoliopsida","Poales","Poaceae","Cyphonanthus","Cyphonanthus discrepans",NA
"2682","itis","Cyrilla racemiflora",NA,"Magnoliopsida","Ericales","Cyrillaceae","Cyrilla","Cyrilla racemiflora",NA
"2683","itis","Cyrillopsis paraensis",NA,NA,NA,NA,NA,NA,NA
"2684","itis","Cyrtopodium palmifrons",NA,NA,NA,NA,NA,NA,NA
"2685","itis","Dacryodes amplectans",NA,NA,NA,NA,NA,NA,NA
"2686","itis","Dacryodes belemensis",NA,NA,NA,NA,NA,NA,NA
"2687","itis","Dacryodes chimantensis",NA,NA,NA,NA,NA,NA,NA
"2688","itis","Dacryodes cuspidata",NA,NA,NA,NA,NA,NA,NA
"2689","itis","Dacryodes hopkinsii",NA,NA,NA,NA,NA,NA,NA
"2690","itis","Dacryodes microcarpa",NA,NA,NA,NA,NA,NA,NA
"2691","itis","Dacryodes negrensis",NA,NA,NA,NA,NA,NA,NA
"2692","itis","Dacryodes nitens",NA,NA,NA,NA,NA,NA,NA
"2693","itis","Dacryodes paraensis",NA,NA,NA,NA,NA,NA,NA
"2694","itis","Dacryodes peruviana",NA,NA,NA,NA,NA,NA,NA
"2695","itis","Dacryodes roraimensis",NA,NA,NA,NA,NA,NA,NA
"2696","itis","Dacryodes sclerophylla",NA,NA,NA,NA,NA,NA,NA
"2697","itis","Dactyloctenium aegyptium",NA,"Magnoliopsida","Poales","Poaceae","Dactyloctenium","Dactyloctenium aegyptium",NA
"2698","itis","Dahlstedtia muehlbergiana",NA,NA,NA,NA,NA,NA,NA
"2699","itis","Dahlstedtia pentaphylla",NA,NA,NA,NA,NA,NA,NA
"2700","itis","Dalbergia amazonica",NA,NA,NA,NA,NA,NA,NA
"2701","itis","Dalbergia atropurpurea",NA,NA,NA,NA,NA,NA,NA
"2702","itis","Dalbergia brownei",NA,"Magnoliopsida","Fabales","Fabaceae","Dalbergia","Dalbergia brownei",NA
"2703","itis","Dalbergia ecastaphyllum",NA,"Magnoliopsida","Fabales","Fabaceae","Dalbergia","Dalbergia ecastaphyllum",NA
"2704","itis","Dalbergia foliolosa",NA,NA,NA,NA,NA,NA,NA
"2705","itis","Dalbergia frutescens",NA,NA,NA,NA,NA,NA,NA
"2706","itis","Dalbergia gracilis",NA,NA,NA,NA,NA,NA,NA
"2707","itis","Dalbergia horrida",NA,NA,NA,NA,NA,NA,NA
"2708","itis","Dalbergia hygrophila",NA,NA,NA,NA,NA,NA,NA
"2709","itis","Dalbergia inundata",NA,NA,NA,NA,NA,NA,NA
"2710","itis","Dalbergia iquitosensis",NA,NA,NA,NA,NA,NA,NA
"2711","itis","Dalbergia multiflora",NA,NA,NA,NA,NA,NA,NA
"2712","itis","Dalbergia ovalis",NA,NA,NA,NA,NA,NA,NA
"2713","itis","Dalbergia revoluta",NA,NA,NA,NA,NA,NA,NA
"2714","itis","Dalbergia riedelii",NA,NA,NA,NA,NA,NA,NA
"2715","itis","Dalbergia riparia",NA,NA,NA,NA,NA,NA,NA
"2716","itis","Dalbergia spruceana",NA,NA,NA,NA,NA,NA,NA
"2717","itis","Dalbergia subcymosa",NA,NA,NA,NA,NA,NA,NA
"2718","itis","Dalechampia affinis",NA,NA,NA,NA,NA,NA,NA
"2719","itis","Dalechampia aristolochiifolia",NA,NA,NA,NA,NA,NA,NA
"2720","itis","Dalechampia burchellii",NA,NA,NA,NA,NA,NA,NA
"2721","itis","Dalechampia cissifolia",NA,NA,NA,NA,NA,NA,NA
"2722","itis","Dalechampia dioscoreifolia",NA,NA,NA,NA,NA,NA,NA
"2723","itis","Dalechampia gentryi",NA,NA,NA,NA,NA,NA,NA
"2724","itis","Dalechampia hastata",NA,NA,NA,NA,NA,NA,NA
"2725","itis","Dalechampia juruana",NA,NA,NA,NA,NA,NA,NA
"2726","itis","Dalechampia magnoliifolia",NA,NA,NA,NA,NA,NA,NA
"2727","itis","Dalechampia micrantha",NA,NA,NA,NA,NA,NA,NA
"2728","itis","Dalechampia olympiana",NA,NA,NA,NA,NA,NA,NA
"2729","itis","Dalechampia parvibracteata",NA,NA,NA,NA,NA,NA,NA
"2730","itis","Dalechampia pernambucensis",NA,NA,NA,NA,NA,NA,NA
"2731","itis","Dalechampia scandens",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia scandens",NA
"2732","itis","Dalechampia tenuiramea",NA,NA,NA,NA,NA,NA,NA
"2733","itis","Dalechampia tiliifolia",NA,NA,NA,NA,NA,NA,NA
"2734","itis","Dalechampia triphylla",NA,NA,NA,NA,NA,NA,NA
"2735","itis","Daltonia splachnoides",NA,"Bryopsida","Hookeriales","Daltoniaceae","Daltonia","Daltonia splachnoides",NA
"2736","itis","Danaea elliptica",NA,NA,NA,NA,NA,"Danaea elliptica",NA
"2737","itis","Danaea leprieurii",NA,"Polypodiopsida","Marattiales","Marattiaceae","Danaea","Danaea leprieurii",NA
"2738","itis","Danaea moritziana",NA,"Polypodiopsida","Marattiales","Marattiaceae","Danaea","Danaea moritziana",NA
"2739","itis","Danaea nodosa",NA,"Polypodiopsida","Marattiales","Marattiaceae","Danaea","Danaea nodosa",NA
"2740","itis","Danaea simplicifolia",NA,"Polypodiopsida","Marattiales","Marattiaceae","Danaea","Danaea simplicifolia",NA
"2741","itis","Danaea trifoliata",NA,"Polypodiopsida","Marattiales","Marattiaceae","Danaea","Danaea trifoliata",NA
"2742","itis","Daphnopsis granitica",NA,NA,NA,NA,NA,NA,NA
"2743","itis","Daphnopsis racemosa",NA,NA,NA,NA,NA,NA,NA
"2744","itis","Daphnopsis steyermarkii",NA,NA,NA,NA,NA,NA,NA
"2745","itis","Datura metel",NA,NA,NA,NA,NA,"Datura metel",NA
"2746","itis","Davilla aspera",NA,NA,NA,NA,NA,NA,NA
"2747","itis","Davilla cuspidulata",NA,NA,NA,NA,NA,NA,NA
"2748","itis","Davilla kunthii",NA,NA,NA,NA,NA,NA,NA
"2749","itis","Davilla lacunosa",NA,NA,NA,NA,NA,NA,NA
"2750","itis","Davilla lanosa",NA,NA,NA,NA,NA,NA,NA
"2751","itis","Davilla latifolia",NA,NA,NA,NA,NA,NA,NA
"2752","itis","Davilla neei",NA,NA,NA,NA,NA,NA,NA
"2753","itis","Davilla nitida",NA,NA,NA,NA,NA,NA,NA
"2754","itis","Davilla pedicellaris",NA,NA,NA,NA,NA,NA,NA
"2755","itis","Davilla rugosa",NA,NA,NA,NA,NA,NA,NA
"2756","itis","Decagonocarpus oppositifolius",NA,NA,NA,NA,NA,NA,NA
"2757","itis","Declieuxia fruticosa",NA,NA,NA,NA,NA,NA,NA
"2758","itis","Declieuxia tenuiflora",NA,NA,NA,NA,NA,NA,NA
"2759","itis","Deguelia amazonica",NA,NA,NA,NA,NA,NA,NA
"2760","itis","Deguelia angulata",NA,NA,NA,NA,NA,NA,NA
"2761","itis","Deguelia decorticans",NA,NA,NA,NA,NA,NA,NA
"2762","itis","Deguelia densiflora",NA,NA,NA,NA,NA,NA,NA
"2763","itis","Deguelia duckeana",NA,NA,NA,NA,NA,NA,NA
"2764","itis","Deguelia glaucifolia",NA,NA,NA,NA,NA,NA,NA
"2765","itis","Deguelia negrensis",NA,NA,NA,NA,NA,NA,NA
"2766","itis","Deguelia nitidula",NA,NA,NA,NA,NA,NA,NA
"2767","itis","Deguelia occidentalis",NA,NA,NA,NA,NA,NA,NA
"2768","itis","Deguelia rariflora",NA,NA,NA,NA,NA,NA,NA
"2769","itis","Deguelia rufescens",NA,NA,NA,NA,NA,NA,NA
"2770","itis","Deguelia scandens",NA,NA,NA,NA,NA,NA,NA
"2771","itis","Deguelia spruceana",NA,NA,NA,NA,NA,NA,NA
"2772","itis","Deguelia urucu",NA,NA,NA,NA,NA,NA,NA
"2773","itis","Deguelia utilis",NA,NA,NA,NA,NA,NA,NA
"2774","itis","Delonix regia",NA,"Magnoliopsida","Fabales","Fabaceae","Delonix","Delonix regia",NA
"2775","itis","Dendrobangia boliviana",NA,NA,NA,NA,NA,NA,NA
"2776","itis","Dendrobangia multinervia",NA,NA,NA,NA,NA,NA,NA
"2777","itis","Dendropanax arboreus",NA,"Magnoliopsida","Apiales","Araliaceae","Dendropanax","Dendropanax arboreus",NA
"2778","itis","Dendropanax cuneatus",NA,NA,NA,NA,NA,NA,NA
"2779","itis","Dendropanax macropodus",NA,NA,NA,NA,NA,NA,NA
"2780","itis","Dendropanax neblinae",NA,NA,NA,NA,NA,NA,NA
"2781","itis","Dendropanax palustris",NA,NA,NA,NA,NA,NA,NA
"2782","itis","Dendropanax resinosus",NA,NA,NA,NA,NA,NA,NA
"2783","itis","Dendrophthora elliptica",NA,NA,NA,NA,NA,NA,NA
"2784","itis","Dendrophthora fendleriana",NA,NA,NA,NA,NA,NA,NA
"2785","itis","Dendrophthora warmingii",NA,NA,NA,NA,NA,NA,NA
"2786","itis","Dendrosipanea revoluta",NA,NA,NA,NA,NA,NA,NA
"2787","itis","Dendrosipanea spigelioides",NA,NA,NA,NA,NA,NA,NA
"2788","itis","Dendrothrix wurdackii",NA,NA,NA,NA,NA,NA,NA
"2789","itis","Dendrothrix yutajensis",NA,NA,NA,NA,NA,NA,NA
"2790","itis","Dennstaedtia bipinnata",NA,"Polypodiopsida","Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia bipinnata",NA
"2791","itis","Deppea blumenaviensis",NA,NA,NA,NA,NA,NA,NA
"2792","itis","Deprea parviflora",NA,NA,NA,NA,NA,NA,NA
"2793","itis","Desmodium affine",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium affine",NA
"2794","itis","Desmodium axillare",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium axillare",NA
"2795","itis","Desmodium cajanifolium",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium cajanifolium",NA
"2796","itis","Desmodium distortum",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium distortum",NA
"2797","itis","Desmodium incanum",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium incanum",NA
"2798","itis","Desmodium scorpiurus",NA,"Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium scorpiurus",NA
"2799","itis","Desmoncus giganteus",NA,NA,NA,NA,NA,NA,NA
"2800","itis","Desmophlebium lechleri",NA,"Polypodiopsida","Polypodiales","Desmophlebiaceae","Desmophlebium","Desmophlebium lechleri",NA
"2801","itis","Desmoscelis villosa",NA,NA,NA,NA,NA,NA,NA
"2802","itis","Diacidia aracaensis",NA,NA,NA,NA,NA,NA,NA
"2803","itis","Diacidia cordata",NA,NA,NA,NA,NA,NA,NA
"2804","itis","Diacidia galphimioides",NA,NA,NA,NA,NA,NA,NA
"2805","itis","Diacidia glaucifolia",NA,NA,NA,NA,NA,NA,NA
"2806","itis","Diacidia rufa",NA,NA,NA,NA,NA,NA,NA
"2807","itis","Dialium guianense",NA,"Magnoliopsida","Fabales","Fabaceae","Dialium","Dialium guianense",NA
"2808","itis","Dialium guineense",NA,"Magnoliopsida","Fabales","Fabaceae","Dialium","Dialium guineense",NA
"2809","itis","Dialium heterophyllum",NA,NA,NA,NA,NA,NA,NA
"2810","itis","Dialypetalanthus fuscescens",NA,NA,NA,NA,NA,NA,NA
"2811","itis","Dianthera appendiculata",NA,NA,NA,NA,NA,NA,NA
"2812","itis","Dianthera calycina",NA,NA,NA,NA,NA,NA,NA
"2813","itis","Dianthera comata",NA,NA,NA,NA,NA,"Dianthera comata",NA
"2814","itis","Dianthera laevilinguis",NA,NA,NA,NA,NA,NA,NA
"2815","itis","Dianthera pectoralis",NA,NA,NA,NA,NA,"Dianthera pectoralis",NA
"2816","itis","Diatenopteryx sorbifolia",NA,NA,NA,NA,NA,NA,NA
"2817","itis","Dibrachiella auberiana",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Dibrachiella","Dibrachiella auberiana",NA
"2818","itis","Dibrachiella parviflora",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Dibrachiella","Dibrachiella parviflora",NA
"2819","itis","Dicella julianii",NA,NA,NA,NA,NA,NA,NA
"2820","itis","Dicella nucifera",NA,NA,NA,NA,NA,NA,NA
"2821","itis","Dichaea anchoraelabia",NA,NA,NA,NA,NA,NA,NA
"2822","itis","Dichaea ancoraelabia",NA,NA,NA,NA,NA,NA,NA
"2823","itis","Dichaea hystricina",NA,"Magnoliopsida","Asparagales","Orchidaceae","Dichaea","Dichaea hystricina",NA
"2824","itis","Dichaea morrisii",NA,NA,NA,NA,NA,NA,NA
"2825","itis","Dichaea pendula",NA,"Magnoliopsida","Asparagales","Orchidaceae","Dichaea","Dichaea pendula",NA
"2826","itis","Dichaea picta",NA,NA,NA,NA,NA,NA,NA
"2827","itis","Dichaea tenuis",NA,NA,NA,NA,NA,NA,NA
"2828","itis","Dichaea trinitensis",NA,NA,NA,NA,NA,NA,NA
"2829","itis","Dichaea trulla",NA,NA,NA,NA,NA,NA,NA
"2830","itis","Dichanthelium xalapense",NA,NA,NA,NA,NA,NA,NA
"2831","itis","Dichapetalum coelhoi",NA,NA,NA,NA,NA,NA,NA
"2832","itis","Dichapetalum froesii",NA,NA,NA,NA,NA,NA,NA
"2833","itis","Dichapetalum latifolium",NA,NA,NA,NA,NA,NA,NA
"2834","itis","Dichapetalum odoratum",NA,NA,NA,NA,NA,NA,NA
"2835","itis","Dichapetalum pedunculatum",NA,NA,NA,NA,NA,NA,NA
"2836","itis","Dichapetalum rugosum",NA,NA,NA,NA,NA,NA,NA
"2837","itis","Dichapetalum spruceanum",NA,NA,NA,NA,NA,NA,NA
"2838","itis","Dichorisandra densiflora",NA,NA,NA,NA,NA,NA,NA
"2839","itis","Dichorisandra hexandra",NA,NA,NA,NA,NA,NA,NA
"2840","itis","Dichorisandra ulei",NA,NA,NA,NA,NA,NA,NA
"2841","itis","Dichorisandra villosula",NA,NA,NA,NA,NA,NA,NA
"2842","itis","Dicksonia sellowiana",NA,"Polypodiopsida","Cyatheales","Dicksoniaceae","Dicksonia","Dicksonia sellowiana",NA
"2843","itis","Diclidanthera octandra",NA,NA,NA,NA,NA,NA,NA
"2844","itis","Diclidanthera penduliflora",NA,NA,NA,NA,NA,NA,NA
"2845","itis","Diclinanona calycina",NA,NA,NA,NA,NA,NA,NA
"2846","itis","Diclinanona tessmannii",NA,NA,NA,NA,NA,NA,NA
"2847","itis","Dicorynia paraensis",NA,NA,NA,NA,NA,NA,NA
"2848","itis","Dicranella hilariana",NA,"Bryopsida","Dicranales","Dicranellaceae","Dicranella","Dicranella hilariana",NA
"2849","itis","Dicranella juliformis",NA,NA,NA,NA,NA,NA,NA
"2850","itis","Dicranella varia",NA,"Bryopsida","Dicranales","Dicranellaceae","Dicranella","Dicranella varia",NA
"2851","itis","Dicranodontium pulchroalare",NA,NA,NA,NA,NA,NA,NA
"2852","itis","Dicranoglossum desvauxii",NA,NA,NA,NA,NA,NA,NA
"2853","itis","Dicranopteris flexuosa",NA,"Polypodiopsida","Gleicheniales","Gleicheniaceae","Dicranopteris","Dicranopteris flexuosa",NA
"2854","itis","Dicranopteris nervosa",NA,NA,NA,NA,NA,NA,NA
"2855","itis","Dicranopteris pectinata",NA,NA,NA,NA,NA,"Dicranopteris pectinata",NA
"2856","itis","Dicranopteris schomburgkiana",NA,NA,NA,NA,NA,NA,NA
"2857","itis","Dicranopteris seminuda",NA,NA,NA,NA,NA,NA,NA
"2858","itis","Dicranopygium imeriense",NA,NA,NA,NA,NA,NA,NA
"2859","itis","Dicranopygium stenophyllum",NA,NA,NA,NA,NA,NA,NA
"2860","itis","Dicranostyles ampla",NA,NA,NA,NA,NA,NA,NA
"2861","itis","Dicranostyles densa",NA,NA,NA,NA,NA,NA,NA
"2862","itis","Dicranostyles falconiana",NA,NA,NA,NA,NA,NA,NA
"2863","itis","Dicranostyles globostigma",NA,NA,NA,NA,NA,NA,NA
"2864","itis","Dicranostyles holostyla",NA,NA,NA,NA,NA,NA,NA
"2865","itis","Dicranostyles integra",NA,NA,NA,NA,NA,NA,NA
"2866","itis","Dicranostyles laxa",NA,NA,NA,NA,NA,NA,NA
"2867","itis","Dicranostyles longifolia",NA,NA,NA,NA,NA,NA,NA
"2868","itis","Dicranostyles scandens",NA,NA,NA,NA,NA,NA,NA
"2869","itis","Dicranostyles sericea",NA,NA,NA,NA,NA,NA,NA
"2870","itis","Dictyoloma peruvianum",NA,NA,NA,NA,NA,NA,NA
"2871","itis","Dictyostega orobanchoides",NA,NA,NA,NA,NA,NA,NA
"2872","itis","Dicymbe amazonica",NA,NA,NA,NA,NA,NA,NA
"2873","itis","Dicymbe arenicola",NA,NA,NA,NA,NA,NA,NA
"2874","itis","Dicymbe corymbosa",NA,NA,NA,NA,NA,NA,NA
"2875","itis","Dicymbe froesii",NA,NA,NA,NA,NA,NA,NA
"2876","itis","Dicymbe heteroxylon",NA,NA,NA,NA,NA,NA,NA
"2877","itis","Dicymbe mollis",NA,NA,NA,NA,NA,NA,NA
"2878","itis","Dicymbe puncticulosa",NA,NA,NA,NA,NA,NA,NA
"2879","itis","Dicymbe stipitata",NA,NA,NA,NA,NA,NA,NA
"2880","itis","Dicymbe uaiparuensis",NA,NA,NA,NA,NA,NA,NA
"2881","itis","Dicypellium manausense",NA,NA,NA,NA,NA,NA,NA
"2882","itis","Didymiandrum stellatum",NA,NA,NA,NA,NA,NA,NA
"2883","itis","Didymochlaena truncatula",NA,NA,NA,NA,NA,NA,NA
"2884","itis","Didymocistus chrysadenius",NA,NA,NA,NA,NA,NA,NA
"2885","itis","Didymoglossum angustifrons",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum","Didymoglossum angustifrons",NA
"2886","itis","Didymoglossum kapplerianum",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum","Didymoglossum kapplerianum",NA
"2887","itis","Didymoglossum kraussii",NA,NA,NA,NA,NA,NA,NA
"2888","itis","Didymoglossum membranaceum",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum","Didymoglossum membranaceum",NA
"2889","itis","Didymoglossum ovale",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum","Didymoglossum ovale",NA
"2890","itis","Didymoglossum pinnatinervium",NA,NA,NA,NA,NA,NA,NA
"2891","itis","Didymoglossum punctatum",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum","Didymoglossum punctatum",NA
"2892","itis","Didymopanax ciliatifolius",NA,NA,NA,NA,NA,NA,NA
"2893","itis","Didymopanax confusus",NA,NA,NA,NA,NA,NA,NA
"2894","itis","Didymopanax decaphyllus",NA,NA,NA,NA,NA,NA,NA
"2895","itis","Didymopanax dichotomus",NA,NA,NA,NA,NA,NA,NA
"2896","itis","Didymopanax distractiflorus",NA,NA,NA,NA,NA,NA,NA
"2897","itis","Didymopanax macrocarpus",NA,NA,NA,NA,NA,NA,NA
"2898","itis","Didymopanax morototoni",NA,NA,NA,NA,NA,"Didymopanax morototonii",NA
"2899","itis","Didymopanax plurifolius",NA,NA,NA,NA,NA,NA,NA
"2900","itis","Didymopanax plurispicatus",NA,NA,NA,NA,NA,NA,NA
"2901","itis","Didymopanax pubicarpus",NA,NA,NA,NA,NA,NA,NA
"2902","itis","Didymopanax selloi",NA,NA,NA,NA,NA,NA,NA
"2903","itis","Didymopanax umbrosus",NA,NA,NA,NA,NA,NA,NA
"2904","itis","Diectomis fastigiata",NA,NA,NA,NA,NA,"Diectomis fastigiata",NA
"2905","itis","Dieffenbachia acreana",NA,NA,NA,NA,NA,NA,NA
"2906","itis","Dieffenbachia cannifolia",NA,NA,NA,NA,NA,NA,NA
